          20     1     1  0.0  1.0   11    10.600 2212    1 0.1588054E+04
    1 -1.   21     11  0  0    0.0000    0.0000   10.6000   10.6000    0.0005     -0.0066   -0.0067    0.0000
    2  1.   21   2212  0  0    0.0000    0.0000    0.0000    0.9383    0.9383     -0.0066   -0.0067    0.0000
    3  0.   21     22  1  0   -0.3961    0.4093    9.5506    9.4060   -1.7511     -0.0066   -0.0067    0.0000
    4 -1.    1     11  1  0    0.3961   -0.4093    1.0494    1.1940    0.0005     -0.0066   -0.0067    0.0000
    5  1.   13      2  0  6   -0.2599    0.9198    7.7000    7.7591    0.0056     -0.0066   -0.0067    0.0000
    6  0.   13   2101  2  0   -0.5000   -0.3005    0.3756    0.9039    0.5793     -0.0066   -0.0067    0.0000
    7  0.   11    113  2 10    0.3716   -0.1755    1.6897    1.8832    0.7229     -0.0066   -0.0067    0.0000
    8  1.   12      2  5 12   -0.2599    0.9198    7.7000    7.7591    0.0056     -0.0066   -0.0067    0.0000
    9  0.   11   2101  6 12   -0.5000   -0.3005    0.3756    0.9039    0.5793     -0.0066   -0.0067    0.0000
   10  1.    1    211  7  0    0.4428    0.1328    1.0588    1.1637    0.1396     -0.0066   -0.0067    0.0000
   11 -1.    1   -211  7  0   -0.0712   -0.3084    0.6309    0.7195    0.1396     -0.0066   -0.0067    0.0000
   12  0.   11     92  8 13   -0.7600    0.6193    8.0756    8.6630    2.9784     -0.0066   -0.0067    0.0000
   13  1.    1    211 12  0   -0.3376    0.3225    3.2586    3.2948    0.1396     -0.0066   -0.0067    0.0000
   14  0.   11    311 12 16    0.0985    0.8672    1.8393    2.0959    0.4977     -0.0066   -0.0067    0.0000
   15  0.   11   3122 12 17   -0.5209   -0.5704    2.9777    3.2723    1.1156     -0.0066   -0.0067    0.0000
   16  0.   11    310 14 19    0.0985    0.8672    1.8393    2.0959    0.4977     -0.0066   -0.0067    0.0000
   17  1.    1   2212 15  0   -0.4558   -0.5792    2.4965    2.7669    0.9383     -3.1125   -3.4077   17.7537
   18 -1.    1   -211 15  0   -0.0651    0.0088    0.4812    0.5054    0.1396     -3.1125   -3.4077   17.7537
   19  1.    1    211 16  0   -0.0556    0.1804    0.2080    0.3136    0.1396      0.1667    1.5182    3.2342
   20 -1.    1   -211 16  0    0.1541    0.6869    1.6313    1.7822    0.1396      0.1667    1.5182    3.2342
          18     1     1  0.0  1.0   11    10.600 2212    1 0.1588054E+04
    1 -1.   21     11  0  0    0.0000   -0.0000   10.6000   10.6000    0.0005      0.0079   -0.0014    0.0000
    2  1.   21   2212  0  0    0.0000   -0.0000    0.0000    0.9383    0.9383      0.0079   -0.0014    0.0000
    3  0.   21     22  1  0    0.3597    0.0973    9.9044    9.8109   -1.4080      0.0079   -0.0014    0.0000
    4 -1.    1     11  1  0   -0.3597   -0.0973    0.6956    0.7891    0.0005      0.0079   -0.0014    0.0000
    5  0.   13     -3  0  0    0.8918    0.0620    8.8196    8.8670    0.1990      0.0079   -0.0014    0.0000
    6 -0.   13      1  2  5   -0.4281    0.0700    0.1989    0.4773    0.0099      0.0079   -0.0014    0.0000
    7  1.   11   3222  2 10   -0.0756   -0.0323    1.1350    1.6461    1.1894      0.0079   -0.0014    0.0000
    8 -0.   12      1  6 12   -0.4281    0.0700    0.1989    0.4773    0.0099      0.0079   -0.0014    0.0000
    9  0.   11     -3  5 12    0.8918    0.0620    8.8196    8.8670    0.1990      0.0079   -0.0014    0.0000
   10  0.    1   2112  7  0   -0.1095   -0.2021    0.8796    1.3075    0.9396     -0.1084   -0.0511    1.7466
   11  1.    1    211  7  0    0.0339    0.1698    0.2553    0.3386    0.1396     -0.1084   -0.0511    1.7466
   12  0.   11     92  8 13    0.4638    0.1321    9.0184    9.3443    2.3981      0.0079   -0.0014    0.0000
   13  0.    1   2112 12  0   -0.0042   -0.0561    2.0394    2.2461    0.9396      0.0079   -0.0014    0.0000
   14  0.   11  -3212 12 15    0.4679    0.1882    6.9791    7.0982    1.1926      0.0079   -0.0014    0.0000
   15  0.   11  -3122 14 17    0.4442    0.1746    6.1451    6.2638    1.1156      0.0079   -0.0014    0.0000
   16  0.    1     22 14  0    0.0237    0.0136    0.8340    0.8344    0.0000      0.0079   -0.0014    0.0000
   17 -1.    1  -2212 15  0    0.4829    0.1412    5.4164    5.5201    0.9383      1.2216    0.4755   16.7882
   18  1.    1    211 15  0   -0.0387    0.0334    0.7287    0.7437    0.1396      1.2216    0.4755   16.7882
          17     1     1  0.0  1.0   11    10.600 2212    1 0.1588054E+04
    1 -1.   21     11  0  0    0.0000   -0.0000   10.6000   10.6000    0.0005     -0.0005   -0.0056    0.0000
    2  1.   21   2212  0  0    0.0000   -0.0000    0.0000    0.9383    0.9383     -0.0005   -0.0056    0.0000
    3  0.   21     22  1  0    0.7643    0.5825    8.7194    8.4881   -2.2144     -0.0005   -0.0056    0.0000
    4 -1.    1     11  1  0   -0.7643   -0.5825    1.8806    2.1119    0.0005     -0.0005   -0.0056    0.0000
    5  1.   13      2  0  6    1.0955    1.2980    7.8226    8.0049    0.0056     -0.0005   -0.0056    0.0000
    6  0.   13   2103  2  0   -0.3311   -0.7155    0.8968    1.4216    0.7713     -0.0005   -0.0056    0.0000
    7  1.   12      2  5  9    1.0955    1.2980    7.8226    8.0049    0.0056     -0.0005   -0.0056    0.0000
    8  0.   11   2103  6  9   -0.3311   -0.7155    0.8968    1.4216    0.7713     -0.0005   -0.0056    0.0000
    9  0.   11     92  7 10    0.7643    0.5825    8.7194    9.4264    3.4504     -0.0005   -0.0056    0.0000
